"Plot Title: Gonsal"
"#","Date Time, GMT+05:45","Abs Pres, psi (LGR S/N: 21644197, SEN S/N: 21644197)","Temp, °F (LGR S/N: 21644197, SEN S/N: 21644197)","Coupler Detached (LGR S/N: 21644197)","End Of File (LGR S/N: 21644197)"
1,06/10/23 06:00:00 PM,12.4869,83.399,Logged,
2,06/10/23 06:05:00 PM,12.4862,82.330,,
3,06/10/23 06:10:00 PM,12.4851,81.266,,
4,06/10/23 06:15:00 PM,12.4825,80.206,,
5,06/10/23 06:20:00 PM,12.4815,79.326,,
6,06/10/23 06:25:00 PM,12.4837,78.449,,
7,06/10/23 06:30:00 PM,12.4814,77.923,,
8,06/10/23 06:35:00 PM,12.4804,77.225,,
9,06/10/23 06:40:00 PM,12.4796,76.703,,
10,06/10/23 06:45:00 PM,12.4775,76.354,,
11,06/10/23 06:50:00 PM,12.4834,76.006,,
12,06/10/23 06:55:00 PM,12.4828,75.659,,
13,06/10/23 07:00:00 PM,12.4822,75.312,,
14,06/10/23 07:05:00 PM,12.4819,75.139,,
15,06/10/23 07:10:00 PM,12.4830,74.791,,
16,06/10/23 07:15:00 PM,12.4860,74.619,,
17,06/10/23 07:20:00 PM,12.4873,74.446,,
18,06/10/23 07:25:00 PM,12.4869,74.271,,
19,06/10/23 07:30:00 PM,12.4853,74.271,,
20,06/10/23 07:35:00 PM,12.4882,74.098,,
21,06/10/23 07:40:00 PM,12.4863,73.926,,
22,06/10/23 07:45:00 PM,12.4912,73.926,,
23,06/10/23 07:50:00 PM,12.4892,73.753,,
24,06/10/23 07:55:00 PM,12.4892,73.753,,
25,06/10/23 08:00:00 PM,12.4908,73.753,,
26,06/10/23 08:05:00 PM,12.4921,73.580,,
27,06/10/23 08:10:00 PM,12.4905,73.580,,
28,06/10/23 08:15:00 PM,12.4918,73.407,,
29,06/10/23 08:20:00 PM,12.4902,73.407,,
30,06/10/23 08:25:00 PM,12.4902,73.407,,
31,06/10/23 08:30:00 PM,12.4914,73.234,,
32,06/10/23 08:35:00 PM,12.4914,73.234,,
33,06/10/23 08:40:00 PM,12.4931,73.234,,
34,06/10/23 08:45:00 PM,12.4931,73.234,,
35,06/10/23 08:50:00 PM,12.4931,73.234,,
36,06/10/23 08:55:00 PM,12.4944,73.062,,
37,06/10/23 09:00:00 PM,12.4911,73.062,,
38,06/10/23 09:05:00 PM,12.4944,73.062,,
39,06/10/23 09:10:00 PM,12.4960,73.062,,
40,06/10/23 09:15:00 PM,12.4944,73.062,,
41,06/10/23 09:20:00 PM,12.4944,73.062,,
42,06/10/23 09:25:00 PM,12.4940,72.891,,
43,06/10/23 09:30:00 PM,12.4973,72.891,,
44,06/10/23 09:35:00 PM,12.5005,72.891,,
45,06/10/23 09:40:00 PM,12.4985,72.718,,
46,06/10/23 09:45:00 PM,12.5018,72.718,,
47,06/10/23 09:50:00 PM,12.5034,72.718,,
48,06/10/23 09:55:00 PM,12.5030,72.545,,
49,06/10/23 10:00:00 PM,12.5011,72.372,,
50,06/10/23 10:05:00 PM,12.5043,72.372,,
51,06/10/23 10:10:00 PM,12.5040,72.199,,
52,06/10/23 10:15:00 PM,12.5052,72.028,,
53,06/10/23 10:20:00 PM,12.5052,72.028,,
54,06/10/23 10:25:00 PM,12.5049,71.856,,
55,06/10/23 10:30:00 PM,12.5044,71.683,,
56,06/10/23 10:35:00 PM,12.5044,71.683,,
57,06/10/23 10:40:00 PM,12.5041,71.512,,
58,06/10/23 10:45:00 PM,12.5041,71.512,,
59,06/10/23 10:50:00 PM,12.5037,71.339,,
60,06/10/23 10:55:00 PM,12.5021,71.339,,
61,06/10/23 11:00:00 PM,12.5049,71.168,,
62,06/10/23 11:05:00 PM,12.5049,71.168,,
63,06/10/23 11:10:00 PM,12.5066,71.168,,
64,06/10/23 11:15:00 PM,12.5046,70.995,,
65,06/10/23 11:20:00 PM,12.5062,70.995,,
66,06/10/23 11:25:00 PM,12.5046,70.995,,
67,06/10/23 11:30:00 PM,12.5025,70.824,,
68,06/10/23 11:35:00 PM,12.5041,70.824,,
69,06/10/23 11:40:00 PM,12.5057,70.824,,
70,06/10/23 11:45:00 PM,12.5041,70.824,,
71,06/10/23 11:50:00 PM,12.5041,70.824,,
72,06/10/23 11:55:00 PM,12.5053,70.651,,
73,06/11/23 12:00:00 AM,12.5037,70.651,,
74,06/11/23 12:05:00 AM,12.5037,70.651,,
75,06/11/23 12:10:00 AM,12.5021,70.651,,
76,06/11/23 12:15:00 AM,12.5009,70.824,,
77,06/11/23 12:20:00 AM,12.5009,70.824,,
78,06/11/23 12:25:00 AM,12.4976,70.824,,
79,06/11/23 12:30:00 AM,12.4976,70.824,,
80,06/11/23 12:35:00 AM,12.4976,70.824,,
81,06/11/23 12:40:00 AM,12.4940,70.651,,
82,06/11/23 12:45:00 AM,12.4940,70.651,,
83,06/11/23 12:50:00 AM,12.4956,70.651,,
84,06/11/23 12:55:00 AM,12.4951,70.480,,
85,06/11/23 01:00:00 AM,12.4936,70.480,,
86,06/11/23 01:05:00 AM,12.4931,70.308,,
87,06/11/23 01:10:00 AM,12.4915,70.308,,
88,06/11/23 01:15:00 AM,12.4911,70.137,,
89,06/11/23 01:20:00 AM,12.4911,70.137,,
90,06/11/23 01:25:00 AM,12.4895,70.137,,
91,06/11/23 01:30:00 AM,12.4911,70.137,,
92,06/11/23 01:35:00 AM,12.4928,70.137,,
93,06/11/23 01:40:00 AM,12.4928,70.137,,
94,06/11/23 01:45:00 AM,12.4928,70.137,,
95,06/11/23 01:50:00 AM,12.4911,70.137,,
96,06/11/23 01:55:00 AM,12.4911,70.137,,
97,06/11/23 02:00:00 AM,12.4928,70.137,,
98,06/11/23 02:05:00 AM,12.4908,69.964,,
99,06/11/23 02:10:00 AM,12.4891,69.964,,
100,06/11/23 02:15:00 AM,12.4891,69.964,,
101,06/11/23 02:20:00 AM,12.4908,69.964,,
102,06/11/23 02:25:00 AM,12.4891,69.964,,
103,06/11/23 02:30:00 AM,12.4891,69.964,,
104,06/11/23 02:35:00 AM,12.4870,69.793,,
105,06/11/23 02:40:00 AM,12.4870,69.793,,
106,06/11/23 02:45:00 AM,12.4854,69.793,,
107,06/11/23 02:50:00 AM,12.4834,69.622,,
108,06/11/23 02:55:00 AM,12.4866,69.622,,
109,06/11/23 03:00:00 AM,12.4834,69.622,,
110,06/11/23 03:05:00 AM,12.4866,69.622,,
111,06/11/23 03:10:00 AM,12.4850,69.622,,
112,06/11/23 03:15:00 AM,12.4834,69.622,,
113,06/11/23 03:20:00 AM,12.4850,69.622,,
114,06/11/23 03:25:00 AM,12.4866,69.622,,
115,06/11/23 03:30:00 AM,12.4850,69.622,,
116,06/11/23 03:35:00 AM,12.4846,69.449,,
117,06/11/23 03:40:00 AM,12.4862,69.449,,
118,06/11/23 03:45:00 AM,12.4830,69.449,,
119,06/11/23 03:50:00 AM,12.4850,69.622,,
120,06/11/23 03:55:00 AM,12.4846,69.449,,
121,06/11/23 04:00:00 AM,12.4862,69.449,,
122,06/11/23 04:05:00 AM,12.4830,69.449,,
123,06/11/23 04:10:00 AM,12.4846,69.449,,
124,06/11/23 04:15:00 AM,12.4846,69.449,,
125,06/11/23 04:20:00 AM,12.4862,69.449,,
126,06/11/23 04:25:00 AM,12.4846,69.449,,
127,06/11/23 04:30:00 AM,12.4846,69.449,,
128,06/11/23 04:35:00 AM,12.4862,69.449,,
129,06/11/23 04:40:00 AM,12.4846,69.449,,
130,06/11/23 04:45:00 AM,12.4857,69.278,,
131,06/11/23 04:50:00 AM,12.4841,69.278,,
132,06/11/23 04:55:00 AM,12.4825,69.278,,
133,06/11/23 05:00:00 AM,12.4825,69.278,,
134,06/11/23 05:05:00 AM,12.4841,69.278,,
135,06/11/23 05:10:00 AM,12.4841,69.278,,
136,06/11/23 05:15:00 AM,12.4841,69.278,,
137,06/11/23 05:20:00 AM,12.4846,69.449,,
138,06/11/23 05:25:00 AM,12.4814,69.449,,
139,06/11/23 05:30:00 AM,12.4830,69.449,,
140,06/11/23 05:35:00 AM,12.4830,69.449,,
141,06/11/23 05:40:00 AM,12.4846,69.449,,
142,06/11/23 05:45:00 AM,12.4862,69.449,,
143,06/11/23 05:50:00 AM,12.4846,69.449,,
144,06/11/23 05:55:00 AM,12.4846,69.449,,
145,06/11/23 06:00:00 AM,12.4850,69.622,,
146,06/11/23 06:05:00 AM,12.4834,69.622,,
147,06/11/23 06:10:00 AM,12.4866,69.622,,
148,06/11/23 06:15:00 AM,12.4883,69.622,,
149,06/11/23 06:20:00 AM,12.4883,69.622,,
150,06/11/23 06:25:00 AM,12.4883,69.622,,
151,06/11/23 06:30:00 AM,12.4870,69.793,,
152,06/11/23 06:35:00 AM,12.4870,69.793,,
153,06/11/23 06:40:00 AM,12.4875,69.964,,
154,06/11/23 06:45:00 AM,12.4911,70.137,,
155,06/11/23 06:50:00 AM,12.4915,70.308,,
156,06/11/23 06:55:00 AM,12.4915,70.308,,
157,06/11/23 07:00:00 AM,12.4904,70.480,,
158,06/11/23 07:05:00 AM,12.4908,70.651,,
159,06/11/23 07:10:00 AM,12.4908,70.651,,
160,06/11/23 07:15:00 AM,12.4911,70.824,,
