"Plot Title: Gonsal"
"#","Date Time, GMT+05:45","Abs Pres, psi (LGR S/N: 21644197, SEN S/N: 21644197)","Temp, °F (LGR S/N: 21644197, SEN S/N: 21644197)","Coupler Detached (LGR S/N: 21644197)","Coupler Attached (LGR S/N: 21644197)","Host Connected (LGR S/N: 21644197)","Stopped (LGR S/N: 21644197)","End Of File (LGR S/N: 21644197)"
1,09/24/23 09:45:00 AM,13.0585,70.308,Logged,,,,
2,09/24/23 09:50:00 AM,13.0441,69.793,,,,,
3,09/24/23 09:55:00 AM,13.0377,69.793,,,,,
4,09/24/23 10:00:00 AM,13.0344,69.793,,,,,
5,09/24/23 10:05:00 AM,13.0312,69.793,,,,,
6,09/24/23 10:10:00 AM,13.0296,69.793,,,,,
7,09/24/23 10:15:00 AM,13.0279,69.793,,,,,
8,09/24/23 10:20:00 AM,13.0284,69.964,,,,,
9,09/24/23 10:25:00 AM,13.0251,69.964,,,,,
10,09/24/23 10:30:00 AM,13.0235,69.964,,,,,
11,09/24/23 10:35:00 AM,13.0224,70.137,,,,,
12,09/24/23 10:40:00 AM,13.0240,70.137,,,,,
13,09/24/23 10:45:00 AM,13.0228,70.308,,,,,
14,09/24/23 10:50:00 AM,13.0228,70.308,,,,,
15,09/24/23 10:55:00 AM,13.0212,70.308,,,,,
16,09/24/23 11:00:00 AM,13.0199,70.480,,,,,
17,09/24/23 11:05:00 AM,13.0199,70.480,,,,,
18,09/24/23 11:10:00 AM,13.0221,70.651,,,,,
19,09/24/23 11:15:00 AM,13.0208,70.824,,,,,
20,09/24/23 11:20:00 AM,13.0192,70.824,,,,,
21,09/24/23 11:25:00 AM,13.0212,70.995,,,,,
22,09/24/23 11:30:00 AM,13.0212,70.995,,,,,
23,09/24/23 11:35:00 AM,13.0232,71.168,,,,,
24,09/24/23 11:40:00 AM,13.0232,71.168,,,,,
25,09/24/23 11:45:00 AM,13.0286,71.339,,,,,
26,09/24/23 11:50:00 AM,13.0286,71.339,,,,,
27,09/24/23 11:55:00 AM,13.0253,71.339,,,,,
28,09/24/23 12:00:00 PM,13.0274,71.512,,,,,
29,09/24/23 12:05:00 PM,13.0241,71.512,,,,,
30,09/24/23 12:10:00 PM,13.0257,71.512,,,,,
31,09/24/23 12:15:00 PM,13.0229,71.683,,,,,
32,09/24/23 12:20:00 PM,13.0229,71.683,,,,,
33,09/24/23 12:25:00 PM,13.0200,71.856,,,,,
34,09/24/23 12:30:00 PM,13.0200,71.856,,,,,
35,09/24/23 12:35:00 PM,13.0200,71.856,,,,,
36,09/24/23 12:40:00 PM,13.0189,72.028,,,,,
37,09/24/23 12:45:00 PM,13.0171,72.028,,,,,
38,09/24/23 12:50:00 PM,13.0205,72.028,,,,,
39,09/24/23 12:55:00 PM,13.0160,72.199,,,,,
40,09/24/23 01:00:00 PM,13.0160,72.199,,,,,
41,09/24/23 01:05:00 PM,13.0164,72.372,,,,,
42,09/24/23 01:10:00 PM,13.0147,72.372,,,,,
43,09/24/23 01:15:00 PM,13.0164,72.372,,,,,
44,09/24/23 01:20:00 PM,13.0151,72.545,,,,,
45,09/24/23 01:25:00 PM,13.0135,72.545,,,,,
46,09/24/23 01:30:00 PM,13.0139,72.718,,,,,
47,09/24/23 01:35:00 PM,13.0139,72.718,,,,,
48,09/24/23 01:40:00 PM,13.0122,72.718,,,,,
49,09/24/23 01:45:00 PM,13.0122,72.718,,,,,
50,09/24/23 01:50:00 PM,13.0126,72.891,,,,,
51,09/24/23 01:55:00 PM,13.0131,73.062,,,,,
52,09/24/23 02:00:00 PM,13.0097,73.062,,,,,
53,09/24/23 02:05:00 PM,13.0150,73.234,,,,,
54,09/24/23 02:10:00 PM,13.0134,73.234,,,,,
55,09/24/23 02:15:00 PM,13.0138,73.407,,,,,
56,09/24/23 02:20:00 PM,13.0138,73.407,,,,,
57,09/24/23 02:25:00 PM,13.0174,73.580,,,,,
58,09/24/23 02:30:00 PM,13.0141,73.580,,,,,
59,09/24/23 02:35:00 PM,13.0158,73.580,,,,,
60,09/24/23 02:40:00 PM,13.0141,73.580,,,,,
61,09/24/23 02:45:00 PM,13.0141,73.580,,,,,
62,09/24/23 02:50:00 PM,13.0129,73.753,,,,,
63,09/24/23 02:55:00 PM,13.0129,73.753,,,,,
64,09/24/23 03:00:00 PM,13.0129,73.753,,,,,
65,09/24/23 03:05:00 PM,13.0116,73.926,,,,,
66,09/24/23 03:10:00 PM,13.0116,73.926,,,,,
67,09/24/23 03:15:00 PM,13.0116,73.926,,,,,
68,09/24/23 03:20:00 PM,13.0153,74.098,,,,,
69,09/24/23 03:25:00 PM,13.0119,74.098,,,,,
70,09/24/23 03:30:00 PM,13.0155,74.271,,,,,
71,09/24/23 03:35:00 PM,13.0139,74.271,,,,,
72,09/24/23 03:40:00 PM,13.0155,74.271,,,,,
73,09/24/23 03:45:00 PM,13.0192,74.446,,,,,
74,09/24/23 03:50:00 PM,13.0224,74.446,,,,,
75,09/24/23 03:55:00 PM,13.0192,74.446,,,,,
76,09/24/23 04:00:00 PM,13.0208,74.446,,,,,
77,09/24/23 04:05:00 PM,13.0212,74.619,,,,,
78,09/24/23 04:10:00 PM,13.0208,74.446,,,,,
79,09/24/23 04:15:00 PM,13.0176,74.446,,,,,
80,09/24/23 04:20:00 PM,13.0192,74.446,,,,,
81,09/24/23 04:25:00 PM,13.0179,74.619,,,,,
82,09/24/23 04:30:00 PM,13.0179,74.619,,,,,
83,09/24/23 04:35:00 PM,13.0179,74.619,,,,,
84,09/24/23 04:40:00 PM,13.0179,74.619,,,,,
85,09/24/23 04:45:00 PM,13.0228,74.619,,,,,
86,09/24/23 04:50:00 PM,13.0212,74.619,,,,,
87,09/24/23 04:55:00 PM,13.0212,74.619,,,,,
88,09/24/23 05:00:00 PM,13.0212,74.619,,,,,
89,09/24/23 05:05:00 PM,13.0228,74.619,,,,,
90,09/24/23 05:10:00 PM,13.0244,74.619,,,,,
91,09/24/23 05:15:00 PM,13.0228,74.619,,,,,
92,09/24/23 05:20:00 PM,13.0241,74.446,,,,,
93,09/24/23 05:25:00 PM,13.0224,74.446,,,,,
94,09/24/23 05:30:00 PM,13.0241,74.446,,,,,
95,09/24/23 05:35:00 PM,13.0224,74.446,,,,,
96,09/24/23 05:40:00 PM,13.0208,74.446,,,,,
97,09/24/23 05:45:00 PM,13.0224,74.446,,,,,
98,09/24/23 05:50:00 PM,13.0224,74.446,,,,,
99,09/24/23 05:55:00 PM,13.0221,74.271,,,,,
100,09/24/23 06:00:00 PM,13.0253,74.271,,,,,
101,09/24/23 06:05:00 PM,13.0237,74.271,,,,,
102,09/24/23 06:10:00 PM,13.0218,74.098,,,,,
103,09/24/23 06:15:00 PM,13.0250,74.098,,,,,
104,09/24/23 06:20:00 PM,13.0266,74.098,,,,,
105,09/24/23 06:25:00 PM,13.0213,73.926,,,,,
106,09/24/23 06:30:00 PM,13.0247,73.926,,,,,
107,09/24/23 06:35:00 PM,13.0213,73.926,,,,,
108,09/24/23 06:40:00 PM,13.0226,73.753,,,,,
109,09/24/23 06:45:00 PM,13.0161,73.753,,,,,
110,09/24/23 06:50:00 PM,13.0211,73.753,,,,,
111,09/24/23 06:55:00 PM,13.0193,73.753,,,,,
112,09/24/23 07:00:00 PM,13.0206,73.580,,,,,
113,09/24/23 07:05:00 PM,13.0190,73.580,,,,,
114,09/24/23 07:10:00 PM,13.0240,73.580,,,,,
115,09/24/23 07:15:00 PM,13.0222,73.580,,,,,
116,09/24/23 07:20:00 PM,13.0219,73.407,,,,,
117,09/24/23 07:25:00 PM,13.0203,73.407,,,,,
118,09/24/23 07:30:00 PM,13.0219,73.407,,,,,
119,09/24/23 07:35:00 PM,13.0215,73.234,,,,,
120,09/24/23 07:40:00 PM,13.0215,73.234,,,,,
121,09/24/23 07:45:00 PM,13.0248,73.234,,,,,
122,09/24/23 07:50:00 PM,13.0228,73.062,,,,,
123,09/24/23 07:55:00 PM,13.0228,73.062,,,,,
124,09/24/23 08:00:00 PM,13.0228,73.062,,,,,
125,09/24/23 08:05:00 PM,13.0224,72.891,,,,,
126,09/24/23 08:10:00 PM,13.0241,72.891,,,,,
127,09/24/23 08:15:00 PM,13.0237,72.718,,,,,
128,09/24/23 08:20:00 PM,13.0237,72.718,,,,,
129,09/24/23 08:25:00 PM,13.0237,72.718,,,,,
130,09/24/23 08:30:00 PM,13.0232,72.545,,,,,
131,09/24/23 08:35:00 PM,13.0266,72.545,,,,,
132,09/24/23 08:40:00 PM,13.0314,72.545,,,,,
133,09/24/23 08:45:00 PM,13.0343,72.372,,,,,
134,09/24/23 08:50:00 PM,13.0343,72.372,,,,,
135,09/24/23 08:55:00 PM,13.0343,72.372,,,,,
136,09/24/23 09:00:00 PM,13.0322,72.199,,,,,
137,09/24/23 09:05:00 PM,13.0338,72.199,,,,,
138,09/24/23 09:10:00 PM,13.0367,72.028,,,,,
139,09/24/23 09:15:00 PM,13.0335,72.028,,,,,
140,09/24/23 09:20:00 PM,13.0335,72.028,,,,,
141,09/24/23 09:25:00 PM,13.0331,71.856,,,,,
142,09/24/23 09:30:00 PM,13.0298,71.856,,,,,
143,09/24/23 09:35:00 PM,13.0298,71.856,,,,,
144,09/24/23 09:40:00 PM,13.0295,71.683,,,,,
145,09/24/23 09:45:00 PM,13.0295,71.683,,,,,
146,09/24/23 09:50:00 PM,13.0274,71.512,,,,,
147,09/24/23 09:55:00 PM,13.0257,71.512,,,,,
148,09/24/23 10:00:00 PM,13.0225,71.512,,,,,
149,09/24/23 10:05:00 PM,13.0237,71.339,,,,,
150,09/24/23 10:10:00 PM,13.0237,71.339,,,,,
151,09/24/23 10:15:00 PM,13.0237,71.339,,,,,
152,09/24/23 10:20:00 PM,13.0221,71.339,,,,,
153,09/24/23 10:25:00 PM,13.0184,71.168,,,,,
154,09/24/23 10:30:00 PM,13.0184,71.168,,,,,
155,09/24/23 10:35:00 PM,13.0168,71.168,,,,,
156,09/24/23 10:40:00 PM,13.0184,71.168,,,,,
157,09/24/23 10:45:00 PM,13.0164,70.995,,,,,
158,09/24/23 10:50:00 PM,13.0180,70.995,,,,,
159,09/24/23 10:55:00 PM,13.0164,70.995,,,,,
160,09/24/23 11:00:00 PM,13.0147,70.995,,,,,
161,09/24/23 11:05:00 PM,13.0110,70.824,,,,,
162,09/24/23 11:10:00 PM,13.0126,70.824,,,,,
163,09/24/23 11:15:00 PM,13.0126,70.824,,,,,
164,09/24/23 11:20:00 PM,13.0074,70.651,,,,,
165,09/24/23 11:25:00 PM,13.0106,70.651,,,,,
166,09/24/23 11:30:00 PM,13.0074,70.651,,,,,
167,09/24/23 11:35:00 PM,13.0074,70.651,,,,,
168,09/24/23 11:40:00 PM,13.0036,70.480,,,,,
169,09/24/23 11:45:00 PM,13.0021,70.480,,,,,
170,09/24/23 11:50:00 PM,13.0021,70.480,,,,,
171,09/24/23 11:55:00 PM,13.0036,70.480,,,,,
172,09/25/23 12:00:00 AM,13.0032,70.308,,,,,
173,09/25/23 12:05:00 AM,13.0000,70.308,,,,,
174,09/25/23 12:10:00 AM,12.9984,70.308,,,,,
175,09/25/23 12:15:00 AM,12.9984,70.308,,,,,
176,09/25/23 12:20:00 AM,12.9947,70.137,,,,,
177,09/25/23 12:25:00 AM,12.9947,70.137,,,,,
178,09/25/23 12:30:00 AM,12.9947,70.137,,,,,
179,09/25/23 12:35:00 AM,12.9947,70.137,,,,,
180,09/25/23 12:40:00 AM,12.9915,70.137,,,,,
181,09/25/23 12:45:00 AM,12.9926,69.964,,,,,
182,09/25/23 12:50:00 AM,12.9910,69.964,,,,,
183,09/25/23 12:55:00 AM,12.9894,69.964,,,,,
184,09/25/23 01:00:00 AM,12.9894,69.964,,,,,
185,09/25/23 01:05:00 AM,12.9873,69.793,,,,,
186,09/25/23 01:10:00 AM,12.9873,69.793,,,,,
187,09/25/23 01:15:00 AM,12.9873,69.793,,,,,
188,09/25/23 01:20:00 AM,12.9857,69.793,,,,,
189,09/25/23 01:25:00 AM,12.9857,69.793,,,,,
190,09/25/23 01:30:00 AM,12.9868,69.622,,,,,
191,09/25/23 01:35:00 AM,12.9836,69.622,,,,,
192,09/25/23 01:40:00 AM,12.9836,69.622,,,,,
193,09/25/23 01:45:00 AM,12.9820,69.622,,,,,
194,09/25/23 01:50:00 AM,12.9804,69.622,,,,,
195,09/25/23 01:55:00 AM,12.9783,69.449,,,,,
196,09/25/23 02:00:00 AM,12.9783,69.449,,,,,
197,09/25/23 02:05:00 AM,12.9799,69.449,,,,,
198,09/25/23 02:10:00 AM,12.9816,69.449,,,,,
199,09/25/23 02:15:00 AM,12.9783,69.449,,,,,
200,09/25/23 02:20:00 AM,12.9783,69.449,,,,,
201,09/25/23 02:25:00 AM,12.9746,69.278,,,,,
202,09/25/23 02:30:00 AM,12.9729,69.278,,,,,
203,09/25/23 02:35:00 AM,12.9729,69.278,,,,,
204,09/25/23 02:40:00 AM,12.9729,69.278,,,,,
205,09/25/23 02:45:00 AM,12.9729,69.278,,,,,
206,09/25/23 02:50:00 AM,12.9713,69.278,,,,,
207,09/25/23 02:55:00 AM,12.9697,69.278,,,,,
208,09/25/23 03:00:00 AM,12.9677,69.107,,,,,
209,09/25/23 03:05:00 AM,12.9677,69.107,,,,,
210,09/25/23 03:10:00 AM,12.9643,69.107,,,,,
211,09/25/23 03:15:00 AM,12.9677,69.107,,,,,
212,09/25/23 03:20:00 AM,12.9677,69.107,,,,,
213,09/25/23 03:25:00 AM,12.9709,69.107,,,,,
214,09/25/23 03:30:00 AM,12.9725,69.107,,,,,
215,09/25/23 03:35:00 AM,12.9693,69.107,,,,,
216,09/25/23 03:40:00 AM,12.9704,68.934,,,,,
217,09/25/23 03:45:00 AM,12.9720,68.934,,,,,
218,09/25/23 03:50:00 AM,12.9704,68.934,,,,,
219,09/25/23 03:55:00 AM,12.9704,68.934,,,,,
220,09/25/23 04:00:00 AM,12.9704,68.934,,,,,
221,09/25/23 04:05:00 AM,12.9704,68.934,,,,,
222,09/25/23 04:10:00 AM,12.9688,68.934,,,,,
223,09/25/23 04:15:00 AM,12.9655,68.934,,,,,
224,09/25/23 04:20:00 AM,12.9671,68.934,,,,,
225,09/25/23 04:25:00 AM,12.9688,68.934,,,,,
226,09/25/23 04:30:00 AM,12.9667,68.763,,,,,
227,09/25/23 04:35:00 AM,12.9651,68.763,,,,,
228,09/25/23 04:40:00 AM,12.9667,68.763,,,,,
229,09/25/23 04:45:00 AM,12.9651,68.763,,,,,
230,09/25/23 04:50:00 AM,12.9683,68.763,,,,,
231,09/25/23 04:55:00 AM,12.9683,68.763,,,,,
232,09/25/23 05:00:00 AM,12.9700,68.763,,,,,
233,09/25/23 05:05:00 AM,12.9683,68.763,,,,,
234,09/25/23 05:10:00 AM,12.9700,68.763,,,,,
235,09/25/23 05:15:00 AM,12.9683,68.763,,,,,
236,09/25/23 05:20:00 AM,12.9662,68.592,,,,,
237,09/25/23 05:25:00 AM,12.9694,68.592,,,,,
238,09/25/23 05:30:00 AM,12.9694,68.592,,,,,
239,09/25/23 05:35:00 AM,12.9694,68.592,,,,,
240,09/25/23 05:40:00 AM,12.9694,68.592,,,,,
241,09/25/23 05:45:00 AM,12.9694,68.592,,,,,
242,09/25/23 05:50:00 AM,12.9678,68.592,,,,,
243,09/25/23 05:55:00 AM,12.9712,68.592,,,,,
244,09/25/23 06:00:00 AM,12.9712,68.592,,,,,
245,09/25/23 06:05:00 AM,12.9712,68.592,,,,,
246,09/25/23 06:10:00 AM,12.9706,68.421,,,,,
247,09/25/23 06:15:00 AM,12.9739,68.421,,,,,
248,09/25/23 06:20:00 AM,12.9739,68.421,,,,,
249,09/25/23 06:25:00 AM,12.9755,68.421,,,,,
250,09/25/23 06:30:00 AM,12.9755,68.421,,,,,
251,09/25/23 06:35:00 AM,12.9755,68.421,,,,,
252,09/25/23 06:40:00 AM,12.9755,68.421,,,,,
253,09/25/23 06:45:00 AM,12.9739,68.421,,,,,
254,09/25/23 06:50:00 AM,12.9739,68.421,,,,,
255,09/25/23 06:55:00 AM,12.9755,68.421,,,,,
256,09/25/23 07:00:00 AM,12.9739,68.421,,,,,
257,09/25/23 07:05:00 AM,12.9771,68.421,,,,,
258,09/25/23 07:10:00 AM,12.9771,68.421,,,,,
259,09/25/23 07:15:00 AM,12.9771,68.421,,,,,
260,09/25/23 07:20:00 AM,12.9787,68.421,,,,,
261,09/25/23 07:25:00 AM,12.9804,68.421,,,,,
262,09/25/23 07:30:00 AM,12.9771,68.421,,,,,
263,09/25/23 07:35:00 AM,12.9804,68.421,,,,,
264,09/25/23 07:40:00 AM,12.9820,68.421,,,,,
265,09/25/23 07:45:00 AM,12.9836,68.421,,,,,
266,09/25/23 07:50:00 AM,12.9836,68.421,,,,,
267,09/25/23 07:55:00 AM,12.9787,68.421,,,,,
268,09/25/23 08:00:00 AM,12.9820,68.421,,,,,
269,09/25/23 08:05:00 AM,12.9804,68.421,,,,,
270,09/25/23 08:10:00 AM,12.9857,68.592,,,,,
271,09/25/23 08:15:00 AM,12.9857,68.592,,,,,
272,09/25/23 08:20:00 AM,12.9890,68.592,,,,,
273,09/25/23 08:25:00 AM,12.9841,68.592,,,,,
274,09/25/23 08:30:00 AM,12.9841,68.592,,,,,
275,09/25/23 08:35:00 AM,12.9874,68.592,,,,,
276,09/25/23 08:40:00 AM,12.9862,68.763,,,,,
277,09/25/23 08:45:00 AM,12.9878,68.763,,,,,
278,09/25/23 08:50:00 AM,12.9910,68.763,,,,,
279,09/25/23 08:55:00 AM,12.9944,68.763,,,,,
280,09/25/23 09:00:00 AM,12.9948,68.934,,,,,
281,09/25/23 09:05:00 AM,12.9948,68.934,,,,,
282,09/25/23 09:10:00 AM,12.9980,68.934,,,,,
283,09/25/23 09:15:00 AM,12.9980,68.934,,,,,
284,09/25/23 09:20:00 AM,12.9968,69.107,,,,,
285,09/25/23 09:25:00 AM,12.9968,69.107,,,,,
286,09/25/23 09:30:00 AM,13.0002,69.107,,,,,
287,09/25/23 09:35:00 AM,13.0022,69.278,,,,,
288,09/25/23 09:40:00 AM,13.0054,69.278,,,,,
289,09/25/23 09:45:00 AM,13.0006,69.278,,,,,
290,09/25/23 09:50:00 AM,12.9994,69.449,,,,,
291,09/25/23 09:55:00 AM,13.0060,69.449,,,,,
292,09/25/23 10:00:00 AM,13.0048,69.622,,,,,
293,09/25/23 10:05:00 AM,13.0035,69.793,,,,,
294,09/25/23 10:10:00 AM,13.0041,69.964,,,,,
295,09/25/23 10:15:00 AM,13.0073,69.964,,,,,
296,09/25/23 10:20:00 AM,13.0057,69.964,,,,,
297,09/25/23 10:25:00 AM,13.0073,69.964,,,,,
298,09/25/23 10:30:00 AM,13.0045,70.137,,,,,
299,09/25/23 10:35:00 AM,13.0097,70.308,,,,,
300,09/25/23 10:40:00 AM,13.0086,70.480,,,,,
301,09/25/23 10:45:00 AM,13.0102,70.480,,,,,
302,09/25/23 10:50:00 AM,13.0106,70.651,,,,,
303,09/25/23 10:55:00 AM,13.0122,70.651,,,,,
304,09/25/23 11:00:00 AM,13.0126,70.824,,,,,
305,09/25/23 11:05:00 AM,13.0094,70.824,,,,,
306,09/25/23 11:10:00 AM,13.0115,70.995,,,,,
307,09/25/23 11:15:00 AM,13.0087,71.168,,,,,
308,09/25/23 11:20:00 AM,13.0070,71.168,,,,,
309,09/25/23 11:25:00 AM,13.0058,71.339,,,,,
310,09/25/23 11:30:00 AM,13.0063,71.512,,,,,
311,09/25/23 11:35:00 AM,13.0063,71.512,,,,,
312,09/25/23 11:40:00 AM,13.0050,71.683,,,,,
313,09/25/23 11:45:00 AM,13.0067,71.683,,,,,
314,09/25/23 11:50:00 AM,13.0070,71.856,,,,,
315,09/25/23 11:55:00 AM,13.0042,72.028,,,,,
316,09/25/23 12:00:00 PM,13.0074,72.028,,,,,
317,09/25/23 12:05:00 PM,13.0079,72.199,,,,,
318,09/25/23 12:10:00 PM,13.0063,72.199,,,,,
319,09/25/23 12:15:00 PM,13.0079,72.199,,,,,
320,09/25/23 12:20:00 PM,13.0079,72.199,,,,,
321,09/25/23 12:25:00 PM,13.0065,72.372,,,,,
