"Plot Title: ThapaKhola"
"#","Date Time, GMT+05:45","Abs Pres, psi (LGR S/N: 21381590, SEN S/N: 21381590)","Temp, °F (LGR S/N: 21381590, SEN S/N: 21381590)","Coupler Detached (LGR S/N: 21381590)","Coupler Attached (LGR S/N: 21381590)","Stopped (LGR S/N: 21381590)","End Of File (LGR S/N: 21381590)"
1,10/20/22 11:00:00 AM,11.5673,42.363,Logged,,,
2,10/20/22 11:30:00 AM,11.5541,43.282,,,,
3,10/20/22 12:00:00 PM,11.5565,44.195,,,,
4,10/20/22 12:30:00 PM,11.5924,45.466,,,,
5,10/20/22 01:00:00 PM,11.6156,46.908,,,,
6,10/20/22 01:30:00 PM,11.5261,45.286,,,,
7,10/20/22 02:00:00 PM,11.4520,44.560,,,,
8,10/20/22 02:30:00 PM,11.4362,43.466,,,,
9,10/20/22 03:00:00 PM,11.4194,42.915,,,,
10,10/20/22 03:30:00 PM,11.4194,42.915,,,,
11,10/20/22 04:00:00 PM,11.4217,42.915,,,,
12,10/20/22 04:30:00 PM,11.4712,42.548,,,,
13,10/20/22 05:00:00 PM,11.5524,43.466,,,,
14,10/20/22 05:30:00 PM,11.5747,42.732,,,,
15,10/20/22 06:00:00 PM,11.5673,42.363,,,,
16,10/20/22 06:30:00 PM,11.5541,42.363,,,,
17,10/20/22 07:00:00 PM,11.5444,41.994,,,,
18,10/20/22 07:30:00 PM,11.5923,41.810,,,,
19,10/20/22 08:00:00 PM,11.5830,41.625,,,,
20,10/20/22 08:30:00 PM,11.5984,41.625,,,,
21,10/20/22 09:00:00 PM,11.5820,41.254,,,,
22,10/20/22 09:30:00 PM,11.5833,40.881,,,,
23,10/20/22 10:00:00 PM,11.5740,40.696,,,,
24,10/20/22 10:30:00 PM,11.5763,40.696,,,,
25,10/20/22 11:00:00 PM,11.5367,40.696,,,,
26,10/20/22 11:30:00 PM,11.5473,40.509,,,,
27,10/21/22 12:00:00 AM,11.5451,40.509,,,,
28,10/21/22 12:30:00 AM,11.5359,40.321,,,,
29,10/21/22 01:00:00 AM,11.5398,40.134,,,,
30,10/21/22 01:30:00 AM,11.5354,40.134,,,,
31,10/21/22 02:00:00 AM,11.5327,39.947,,,,
32,10/21/22 02:30:00 AM,11.5388,39.760,,,,
33,10/21/22 03:00:00 AM,11.2860,40.321,,,,
34,10/21/22 03:30:00 AM,11.5073,40.321,,,,
35,10/21/22 04:00:00 AM,11.6104,40.321,,,,
36,10/21/22 04:30:00 AM,11.3583,41.254,,,,
37,10/21/22 05:00:00 AM,11.5379,39.384,,,,
38,10/21/22 05:30:00 AM,11.5997,39.573,,,,
39,10/21/22 06:00:00 AM,11.5737,38.818,,,,
40,10/21/22 06:30:00 AM,11.5666,38.629,,,,
41,10/21/22 07:00:00 AM,11.5733,38.629,,,,
42,10/21/22 07:30:00 AM,11.5662,38.440,,,,
43,10/21/22 08:00:00 AM,11.5634,38.250,,,,
44,10/21/22 08:30:00 AM,11.5772,38.440,,,,
45,10/21/22 09:00:00 AM,11.5869,38.818,,,,
46,10/21/22 09:30:00 AM,11.5747,39.196,,,,
47,10/21/22 10:00:00 AM,11.5778,39.573,,,,
48,10/21/22 10:30:00 AM,11.5727,40.134,,,,
49,10/21/22 11:00:00 AM,11.5824,40.509,,,,
50,10/21/22 11:30:00 AM,11.5843,41.254,,,,
51,10/21/22 12:00:00 PM,11.5730,41.994,,,,
52,10/21/22 12:30:00 PM,11.5665,42.915,,,,
53,10/21/22 01:00:00 PM,11.5643,43.831,,,,
54,10/21/22 01:30:00 PM,11.5511,43.831,,,,
55,10/21/22 02:00:00 PM,11.5090,43.648,,,,
56,10/21/22 02:30:00 PM,11.4803,48.160,,,,
57,10/21/22 03:00:00 PM,11.5459,43.466,,,,
58,10/21/22 03:30:00 PM,11.6033,43.648,,,,
59,10/21/22 04:00:00 PM,11.5388,42.363,,,,
60,10/21/22 04:30:00 PM,11.2761,45.286,,,,
61,10/21/22 05:00:00 PM,11.2601,46.008,,,,
62,10/21/22 05:30:00 PM,11.5362,45.828,,,,
63,10/21/22 06:00:00 PM,11.5411,44.195,,,,
64,10/21/22 06:30:00 PM,11.6892,41.994,,,,
65,10/21/22 07:00:00 PM,11.6291,41.625,,,,
66,10/21/22 07:30:00 PM,11.5882,41.067,,,,
67,10/21/22 08:00:00 PM,11.5701,40.881,,,,
68,10/21/22 08:30:00 PM,11.5697,40.696,,,,
69,10/21/22 09:00:00 PM,11.5740,40.696,,,,
70,10/21/22 09:30:00 PM,11.5758,40.509,,,,
71,10/21/22 10:00:00 PM,11.5824,40.509,,,,
72,10/21/22 10:30:00 PM,11.5731,40.321,,,,
73,10/21/22 11:00:00 PM,11.5753,40.321,,,,
74,10/21/22 11:30:00 PM,11.5727,40.134,,,,
75,10/22/22 12:00:00 AM,11.5721,39.947,,,,
76,10/22/22 12:30:00 AM,11.5652,39.760,,,,
77,10/22/22 01:00:00 AM,11.5691,39.573,,,,
78,10/22/22 01:30:00 AM,11.5823,39.573,,,,
79,10/22/22 02:00:00 AM,11.5817,39.384,,,,
80,10/22/22 02:30:00 AM,11.5466,39.384,,,,
81,10/22/22 03:00:00 AM,11.5396,39.196,,,,
82,10/22/22 03:30:00 AM,11.5479,39.007,,,,
83,10/22/22 04:00:00 AM,11.5501,39.007,,,,
84,10/22/22 04:30:00 AM,11.5475,38.818,,,,
85,10/22/22 05:00:00 AM,11.5496,38.818,,,,
86,10/22/22 05:30:00 AM,11.5644,38.629,,,,
87,10/22/22 06:00:00 AM,11.5597,38.440,,,,
88,10/22/22 06:30:00 AM,11.5618,38.440,,,,
89,10/22/22 07:00:00 AM,11.5679,38.250,,,,
90,10/22/22 07:30:00 AM,11.5679,38.250,,,,
91,10/22/22 08:00:00 AM,11.5784,38.061,,,,
92,10/22/22 08:30:00 AM,11.5727,38.440,,,,
93,10/22/22 09:00:00 AM,11.5715,38.818,,,,
94,10/22/22 09:30:00 AM,11.5681,39.196,,,,
95,10/22/22 10:00:00 AM,11.5647,39.573,,,,
96,10/22/22 10:30:00 AM,11.5617,40.134,,,,
97,10/22/22 11:00:00 AM,11.5456,40.696,,,,
98,10/22/22 11:30:00 AM,11.5733,41.254,,,,
99,10/22/22 12:00:00 PM,11.5681,41.810,,,,
100,10/22/22 12:30:00 PM,11.5524,42.548,,,,
101,10/22/22 01:00:00 PM,11.5537,43.099,,,,
102,10/22/22 01:30:00 PM,11.5511,43.831,,,,
103,10/22/22 02:00:00 PM,11.5446,43.831,,,,
104,10/22/22 02:30:00 PM,11.5398,43.648,,,,
105,10/22/22 03:00:00 PM,11.5322,43.282,,,,
106,10/22/22 03:30:00 PM,11.5314,42.915,,,,
107,10/22/22 04:00:00 PM,11.5366,42.363,,,,
108,10/22/22 04:30:00 PM,11.5388,42.363,,,,
109,10/22/22 05:00:00 PM,11.5431,42.363,,,,
110,10/22/22 05:30:00 PM,11.5449,42.179,,,,
111,10/22/22 06:00:00 PM,11.5470,42.179,,,,
112,10/22/22 06:30:00 PM,11.5159,41.994,,,,
113,10/22/22 07:00:00 PM,11.5290,41.994,,,,
114,10/22/22 07:30:00 PM,11.5330,41.810,,,,
115,10/22/22 08:00:00 PM,11.5347,41.625,,,,
116,10/22/22 08:30:00 PM,11.5364,41.439,,,,
117,10/22/22 09:00:00 PM,11.5492,41.254,,,,
118,10/22/22 09:30:00 PM,11.5570,40.881,,,,
119,10/22/22 10:00:00 PM,11.5653,40.696,,,,
120,10/22/22 10:30:00 PM,11.5604,40.509,,,,
121,10/22/22 11:00:00 PM,11.5666,40.321,,,,
122,10/22/22 11:30:00 PM,11.5639,40.134,,,,
123,10/23/22 12:00:00 AM,11.5660,40.134,,,,
124,10/23/22 12:30:00 AM,11.5612,39.947,,,,
125,10/23/22 01:00:00 AM,11.5630,39.760,,,,
126,10/23/22 01:30:00 AM,11.5581,39.573,,,,
127,10/23/22 02:00:00 AM,11.5554,39.384,,,,
128,10/23/22 02:30:00 AM,11.5527,39.196,,,,
129,10/23/22 03:00:00 AM,11.5412,39.007,,,,
130,10/23/22 03:30:00 AM,11.5386,38.818,,,,
131,10/23/22 04:00:00 AM,11.5276,38.818,,,,
132,10/23/22 04:30:00 AM,11.5140,38.629,,,,
133,10/23/22 05:00:00 AM,11.5228,38.629,,,,
134,10/23/22 05:30:00 AM,11.5246,38.440,,,,
135,10/23/22 06:00:00 AM,11.5306,38.250,,,,
136,10/23/22 06:30:00 AM,11.5301,38.061,,,,
137,10/23/22 07:00:00 AM,11.5346,38.061,,,,
138,10/23/22 07:30:00 AM,11.5340,37.870,,,,
139,10/23/22 08:00:00 AM,11.5422,37.679,,,,
140,10/23/22 08:30:00 AM,11.5433,38.061,,,,
141,10/23/22 09:00:00 AM,11.5508,38.440,,,,
142,10/23/22 09:30:00 AM,11.5583,38.818,,,,
143,10/23/22 10:00:00 AM,11.5527,39.196,,,,
144,10/23/22 10:30:00 AM,11.5559,39.573,,,,
145,10/23/22 11:00:00 AM,11.5398,40.134,,,,
146,10/23/22 11:30:00 AM,11.5842,40.321,,,,
147,10/23/22 12:00:00 PM,11.5768,40.881,,,,
148,10/23/22 12:30:00 PM,11.5698,41.625,,,,
149,10/23/22 01:00:00 PM,11.5589,42.548,,,,
150,10/23/22 01:30:00 PM,11.5652,43.282,,,,
151,10/23/22 02:00:00 PM,11.5476,43.282,,,,
152,10/23/22 02:30:00 PM,11.5427,43.099,,,,
153,10/23/22 03:00:00 PM,11.2646,44.195,,,,
154,10/23/22 03:30:00 PM,11.5428,44.013,,,,
155,10/23/22 04:00:00 PM,11.5375,42.732,,,,
156,10/23/22 04:30:00 PM,11.5700,42.548,,,,
157,10/23/22 05:00:00 PM,11.5581,42.179,,,,
158,10/23/22 05:30:00 PM,11.5576,41.994,,,,
159,10/23/22 06:00:00 PM,11.5238,41.625,,,,
160,10/23/22 06:30:00 PM,11.5282,41.625,,,,
161,10/23/22 07:00:00 PM,11.5299,41.439,,,,
162,10/23/22 07:30:00 PM,11.5338,41.254,,,,
163,10/23/22 08:00:00 PM,11.5421,41.067,,,,
164,10/23/22 08:30:00 PM,11.5443,41.067,,,,
165,10/23/22 09:00:00 PM,11.5350,40.881,,,,
166,10/23/22 09:30:00 PM,11.5456,40.696,,,,
167,10/23/22 10:00:00 PM,11.5521,40.696,,,,
168,10/23/22 10:30:00 PM,11.5188,40.509,,,,
169,10/23/22 11:00:00 PM,11.5144,40.509,,,,
170,10/23/22 11:30:00 PM,11.5095,40.321,,,,
171,10/24/22 12:00:00 AM,11.5051,40.321,,,,
172,10/24/22 12:30:00 AM,11.4960,40.134,,,,
173,10/24/22 01:00:00 AM,11.4910,39.947,,,,
174,10/24/22 01:30:00 AM,11.4910,39.947,,,,
175,10/24/22 02:00:00 AM,11.4928,39.760,,,,
176,10/24/22 02:30:00 AM,11.4902,39.573,,,,
177,10/24/22 03:00:00 AM,11.4765,39.384,,,,
178,10/24/22 03:30:00 AM,11.4805,39.196,,,,
179,10/24/22 04:00:00 AM,11.4799,39.007,,,,
180,10/24/22 04:30:00 AM,11.4794,38.818,,,,
181,10/24/22 05:00:00 AM,11.4768,38.629,,,,
182,10/24/22 05:30:00 AM,11.4855,38.629,,,,
183,10/24/22 06:00:00 AM,11.4851,38.440,,,,
184,10/24/22 06:30:00 AM,11.4802,38.250,,,,
185,10/24/22 07:00:00 AM,11.4934,38.250,,,,
186,10/24/22 07:30:00 AM,11.4890,38.250,,,,
187,10/24/22 08:00:00 AM,11.4995,38.061,,,,
188,10/24/22 08:30:00 AM,11.4916,38.440,,,,
189,10/24/22 09:00:00 AM,11.4905,38.818,,,,
190,10/24/22 09:30:00 AM,11.5067,39.196,,,,
191,10/24/22 10:00:00 AM,11.4770,39.573,,,,
192,10/24/22 10:30:00 AM,11.2295,44.195,,,,
193,10/24/22 11:00:00 AM,11.5157,40.134,,,,
194,10/24/22 11:30:00 AM,11.5663,41.994,,,,
195,10/24/22 12:00:00 PM,11.5193,41.625,,,,
196,10/24/22 12:30:00 PM,11.4940,41.994,,,,
197,10/24/22 01:00:00 PM,11.4918,42.915,,,,
198,10/24/22 01:30:00 PM,11.4852,43.831,,,,
199,10/24/22 02:00:00 PM,11.4822,44.379,,,,
200,10/24/22 02:30:00 PM,11.3966,45.286,,,,
201,10/24/22 03:00:00 PM,11.3901,45.286,,,,
202,10/24/22 03:30:00 PM,11.3897,45.104,,,,
203,10/24/22 04:00:00 PM,11.3910,44.742,,,,
204,10/24/22 04:30:00 PM,11.4309,44.013,,,,
205,10/24/22 05:00:00 PM,11.4515,43.466,,,,
206,10/24/22 05:30:00 PM,11.4594,43.099,,,,
207,10/24/22 06:00:00 PM,11.4573,43.099,,,,
208,10/24/22 06:30:00 PM,11.4720,42.915,,,,
209,10/24/22 07:00:00 PM,11.4809,42.915,,,,
210,10/24/22 07:30:00 PM,11.4629,42.732,,,,
211,10/24/22 08:00:00 PM,11.4603,42.548,,,,
212,10/24/22 08:30:00 PM,11.4707,42.363,,,,
213,10/24/22 09:00:00 PM,11.4615,42.179,,,,
214,10/24/22 09:30:00 PM,11.4660,42.179,,,,
215,10/24/22 10:00:00 PM,11.2116,42.179,,,,
216,10/24/22 10:30:00 PM,11.4278,43.648,,,,
217,10/24/22 11:00:00 PM,11.4304,41.994,,,,
218,10/24/22 11:30:00 PM,11.4277,41.810,,,,
219,10/25/22 12:00:00 AM,11.4430,41.810,,,,
220,10/25/22 12:30:00 AM,11.4339,41.625,,,,
221,10/25/22 01:00:00 AM,11.4307,41.254,,,,
222,10/25/22 01:30:00 AM,11.4303,41.067,,,,
223,10/25/22 02:00:00 AM,11.4271,40.696,,,,
224,10/25/22 02:30:00 AM,11.4136,40.509,,,,
