If found, please contact tlang@live.unc.edu
Firmware updated: 2023/03/14
OpenOBS SN:305

time,ambient_light,backscatter,pressure,water_temp,battery
1697069024,12,4696,8404,1634,401
1697069324,11,4714,8406,1633,391
1697069624,12,4705,8402,1632,391
1697069924,13,4760,8402,1631,391
1697070224,10,4738,8399,1629,392
1697070524,11,4787,8402,1629,391
1697070824,11,4777,8402,1628,391
1697071124,12,4798,8403,1627,390
1697071424,11,4746,8397,1626,392
1697071724,12,4790,8404,1625,392
1697072024,11,4780,8400,1624,390
1697072324,12,4785,8402,1623,390
1697072624,11,4468,8403,1623,391
1697072924,11,4503,8399,1621,391
1697073224,12,4464,8395,1620,391
1697073524,11,4506,8396,1620,390
1697073824,11,4542,8400,1619,391
1697074124,11,4582,8402,1618,391
1697074424,11,4585,8400,1617,391
1697074724,12,4488,8401,1616,392
1697075024,11,4549,8399,1615,390
1697075324,12,4543,8396,1614,391
1697075624,12,4451,8398,1612,392
1697075924,12,4589,8392,1612,391
1697076224,11,4538,8392,1611,391
1697076524,11,4561,8398,1610,391
1697076824,11,4561,8401,1609,392
1697077124,11,4570,8396,1609,391
1697077424,11,4639,8398,1608,392
1697077724,12,4602,8397,1607,392
1697078024,12,4645,8400,1607,391
1697078324,11,4703,8400,1608,391
1697078624,11,4695,8394,1609,391
1697078924,11,4612,8398,1611,391
1697079224,12,4792,8400,1612,392
1697079524,11,4651,8399,1616,391
1697079824,12,4601,8398,1618,391
1697080124,12,4757,8395,1619,392
1697080424,11,4761,8396,1620,391
1697080724,11,4686,8394,1620,391
1697081024,12,4685,8403,1620,391
1697081324,10,4713,8397,1620,391
1697081624,12,4735,8396,1619,392
1697081924,11,4834,8398,1617,391
1697082224,11,4701,8399,1616,391
1697082524,11,4768,8400,1612,392
1697082824,11,4776,8404,1611,392
1697083124,12,4735,8399,1610,391
1697083424,12,4743,8399,1608,391
1697083724,12,4796,8403,1606,391
1697084024,11,4771,8392,1604,391
1697084324,11,4763,8398,1604,391
1697084624,12,4809,8395,1602,392
1697084924,11,4805,8401,1601,392
1697085224,11,4809,8406,1600,392
1697085524,11,4785,8399,1598,392
1697085824,11,4713,8396,1597,391
1697086124,11,4842,8399,1596,391
1697086424,11,4883,8405,1595,391
1697086724,11,4805,8406,1594,391
1697087024,11,4793,8401,1593,391
1697087324,11,4890,8407,1592,392
1697087624,11,4918,8403,1591,391
1697087924,11,4902,8405,1591,392
1697088224,11,4983,8406,1590,392
1697088524,12,4953,8407,1589,392
1697088824,11,4945,8409,1588,392
1697089124,12,5017,8399,1588,392
1697089424,12,5070,8409,1587,392
1697089724,19,4974,8402,1586,391
1697090024,36,5001,8411,1586,392
1697090324,66,5023,8407,1585,392
1697090624,125,5031,8408,1585,392
1697090924,176,5111,8408,1584,392
1697091224,277,5021,8411,1584,392
1697091524,345,5043,8410,1584,392
1697091824,459,5064,8412,1584,392
1697092124,640,5076,8413,1585,392
1697092424,710,5125,8415,1586,393
1697092724,852,5079,8416,1587,392
1697093024,910,5133,8418,1588,393
1697093324,1037,5154,8414,1589,392
1697093624,1187,5103,8410,1590,391
1697093924,1257,5204,8417,1592,392
1697094224,1188,5202,8414,1594,393
1697094524,1404,5062,8408,1596,392
1697094824,1505,5085,8420,1599,391
1697095124,1576,4994,8413,1602,392
1697095424,1832,4923,8417,1604,393
1697095724,1901,5031,8423,1608,392
1697096024,2042,4956,8421,1612,392
1697096324,2013,4982,8419,1617,392
1697096624,2324,5006,8418,1620,393
